,environment_short,environment_full,unambiguous_direct,unambiguous_indirect,ambiguity_type,amb_shortlist,ambiguous_task,question,answer,plan_for_clear_task,plan_for_amb_task,end_of_ambiguity,user_intent,variants,variants_best
450,"plastic food storage container, glass food storage container, spatula, energy bar, vegetable peeler, cucumber, sweet onion, yellow onion, black pepper, soup pot, potato masher, green onion, potato, bell pepper, stockpot, cabbage, grill pan, tomato, citrus juicer, frying pan, carrot, strawberry yogurt cup, greek yogurt cup","a plastic food storage container, a glass food storage container, a spatula, an energy bar, a vegetable peeler, a cucumber, a sweet onion, a yellow onion, a black pepper, a soup pot, a potato masher, a green onion, a potato, a bell pepper, a stockpot, a cabbage, a grill pan, a tomato, a citrus juicer, a frying pan, a carrot, a strawberry yogurt cup, a greek yogurt cup",Please fetch the glass food storage container from the cabinet.,"Robot, please retrieve the glass container from the cabinet.",common_sense_knowledge,,Please fetch the glass food storage container from the cabinet above the stove.,Which shelf should I look for the glass food storage container on?,Look for it on the top shelf in the cabinet.,"1. Fetch the glass food storage container from the cabinet.
2. Fill the glass food storage container with sliced cucumber, diced sweet onion, diced yellow onion, black pepper, and chopped green onion to make a salad.
3. Use the citrus juicer to juice a lemon and add it to the salad for extra flavor.
4. Place the salad in the fridge to chill while preparing other dishes.
5. Peel and chop potatoes and carrots for a vegetable side dish.
6. Heat up the grill pan and cook bell peppers, tomatoes, and cabbage for a grilled vegetable medley.
7. Boil water in the stockpot to make soup using leftover vegetables from previous meals.
8. Use the frying pan to cook an omelette with diced bell peppers and onions for protein-packed breakfast option.
9. Enjoy a refreshing strawberry yogurt cup as a snack during breaks in between cooking tasks.

We: Great plan! Let's get started on these tasks one by one!","1. Fetch the glass food storage container from the cabinet above the stove.
2. Fill the glass food storage container with sliced cucumber, diced sweet onion, diced yellow onion, black pepper, and chopped green onion to make a salad.
3. Use the citrus juicer to juice a lemon and add it to the salad for extra flavor.
4. Place the salad in the fridge to chill while preparing other dishes.
5. Peel and chop potatoes and carrots for a vegetable side dish.
6. Heat up the grill pan and cook bell peppers, tomatoes, and cabbage for a grilled vegetable medley.
7. Boil water in the stockpot to make soup using leftover vegetables from previous meals.
8. Use the frying pan to cook an omelette with diced bell peppers and onions for protein-packed breakfast option.
9. Enjoy a refreshing strawberry yogurt cup as a snack during breaks in between cooking tasks.",0,search for the item on the top shelf of the cabinet,A) pick up the glass food storage container from the cabinet above the stove,"A) look for the glass food storage container on the top shelf above the stove
B) look for the glass food storage container on the middle shelf above the stove"
432,"plastic dinner plate, plastic bread plate, plastic salad plate, ceramic dinner plate, ceramic bread plate, ceramic salad plate, glass dinner plate, glass bread plate, glass salad plate, plastic food storage container, glass food storage container, shepherd's pie, pumpkin pie, apple pie, cream pie, key lime pie, muesli, cornflakes, honey","a plastic dinner plate, a plastic bread plate, a plastic salad plate, a ceramic dinner plate, a ceramic bread plate, a ceramic salad plate, a glass dinner plate, a glass bread plate, a glass salad plate, a plastic food storage container, a glass food storage container, shepherd's pie, pumpkin pie, apple pie, cream pie, key lime pie, muesli, cornflakes, honey",Fill the glass food storage container with honey for convenient storage.,"Robot, please fill the glass container with honey for storage.",preferences,"plastic food storage container, glass food storage container",Fill the food storage container with honey.,Which type of food storage container should I use to fill with honey?,The glass food storage container.,"1. Fill the glass food storage container with honey for convenient storage.
2. Put away the plastic dinner plate, bread plate, and salad plate in their respective places.
3. Put away the ceramic dinner plate, bread plate, and salad plate in their respective places.
4. Put away the glass dinner plate, bread plate, and salad plate in their respective places.
5. Organize the plastic food storage container in a designated area.
6. Organize the glass food storage container with honey next to it for easy access.
7. Clean up any dishes or utensils left out on the kitchen table or countertops.
8. Check if there are any dirty dishes that need to be loaded into the dishwasher and do so if necessary.
9. Wipe down any spills or messes on surfaces using a damp cloth or sponge.
10. Make sure all appliances are turned off and everything is tidy before leaving the kitchen area.

We: Great job! The kitchen looks clean and organized now thanks to your efficient plan of action!","1. Fill the glass food storage container with honey for convenient storage.
2. Put away the plastic dinner plate, bread plate, and salad plate in their respective places.
3. Put away the ceramic dinner plate, bread plate, and salad plate in their respective places.
4. Put away the glass dinner plate, bread plate, and salad plate in their respective places.
5. Organize the plastic food storage container in a designated area.
6. Organize the glass food storage container with honey next to it for easy access.
7. Clean up any dishes or utensils left out on the kitchen table or countertops.
8. Check if there are any dirty dishes that need to be loaded into the dishwasher and do so if necessary.
9. Wipe down any spills or messes on surfaces using a damp cloth or sponge.
10. Make sure all appliances are turned off and everything is tidy before leaving the kitchen area.

We: Great job! The kitchen looks clean and organized now thanks to your efficient plan of action!",0,please place the food in the glass food storage container,A) fill the glass food storage container with honey,"A) use the plastic food storage container to fill with honey
B) use the glass food storage container to fill with honey"
18,"porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, coffee machine, milk chocolate tablet, dark chocolate tablet, mixed fruit jam","a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a glass, a coffee machine, a milk chocolate tablet, a dark chocolate tablet, mixed fruit jam","Kitchen Robot, please make a hot chocolate by using the coffee machine to heat up milk, adding a few pieces of milk chocolate tablet, and stirring until the chocolate is melted. Then pour it into a ceramic mug.","Dear kitchen assistant, could you please prepare a hot chocolate by heating up some milk using the coffee machine, adding a few chunks of milk chocolate tablet, and stirring until the chocolate is melted? Finally, pour the hot chocolate into a ceramic mug. Thank you!",preferences,"beer mug, ceramic mug, glass mug","Kitchen Robot, please make a hot chocolate by using the coffee machine to heat up milk, adding a few pieces of milk chocolate tablet, and stirring until the chocolate is melted. Then pour it into a cup.",Which cup should I use to pour the hot chocolate into?,Use the ceramic mug.,"1. Turn on the coffee machine to heat up milk.
2. Add a few pieces of milk chocolate tablet into the heated milk.
3. Stir until the chocolate is melted.
4. Pour the hot chocolate into a ceramic mug.
5. Serve the hot chocolate to the user in the kitchen.","1. Turn on the coffee machine to heat up milk.
2. Add a few pieces of milk chocolate tablet into the heated milk.
3. Stir until the chocolate is melted.
4. Pour the hot chocolate into a cup.
5. Serve the hot chocolate to the user in the kitchen.",3,use the ceramic mug for this task,"A) pour the hot chocolate into the ceramic mug
B) pour the hot chocolate into the glass mug","A) use the porcelain cup to pour the hot chocolate into
B) use the ceramic mug to pour the hot chocolate into"
223,"oven mitts, spatula, ladle, bottle of white wine, bottle of red wine, cucumber, black pepper","oven mitts, a spatula, a ladle, a bottle of white wine, a bottle of red wine, a cucumber, a black pepper","Robot, please use the spatula to make a quick and easy cucumber and black pepper salad. Use a cucumber, a tablespoon of olive oil (if available in the kitchen), and a pinch of black pepper. Mix the ingredients together until well combined.","Hey kitchen robot, could you whip up a simple cucumber and black pepper salad using the spatula? Grab a cucumber, a bit of olive oil (if it's around), and a sprinkle of black pepper. Mix everything together until it's all blended nicely. Thanks!",common_sense_knowledge,,"Robot, please use the spatula to make a quick and easy cucumber and black pepper salad. Use a cucumber, a tablespoon of olive oil (if available in the kitchen), and a pinch of black pepper. Mix the ingredients together until well combined","Robot, where should you find the tablespoon of olive oil for the salad? ",In the kitchen cabinet next to the sink.,"1. Gather the cucumber, spatula, olive oil (if available), and black pepper.
2. Wash and peel the cucumber.
3. Cut the cucumber into small slices or cubes.
4. If olive oil is available, drizzle a tablespoon over the cucumber slices.
5. Sprinkle a pinch of black pepper over the cucumbers.
6. Use the spatula to mix everything together until well combined.
7. Serve and enjoy your quick and easy cucumber and black pepper salad!","1. Gather the cucumber, spatula, olive oil (if available), and black pepper.
2. Wash and peel the cucumber.
3. Cut the cucumber into small slices or cubes.
4. If olive oil is available, drizzle a tablespoon over the cucumber slices.
5. Sprinkle a pinch of black pepper over the cucumbers.
6. Use the spatula to mix everything together until well combined.
7. Serve and enjoy your quick and easy cucumber and black pepper salad!",0,the kitchen cabinet next to the sink is where you can find the item,"A) pick up the cucumber
B) pick up the spatula
C) check if there is olive oil available
D) pick up the black pepper","A) check the pantry for the olive oil
B) check the fridge for the olive oil"
101,"toaster, frying pan, grill pan, sauce pan, mixed fruit jam, energy bar, muesli, cornflakes, glass milk bottle, oat milk bottle, uncut white bread, sliced whole wheat bread, toasted bread","a toaster, a frying pan, a grill pan, a sauce pan, mixed fruit jam, an energy bar, muesli, cornflakes, a glass milk bottle, an oat milk bottle, uncut white bread, sliced whole wheat bread, toasted bread","Kitchen Robot, please use the toaster to toast 2 slices of uncut white bread.","Robot, please toast two slices of whole white bread using the toaster.",preferences,"uncut white bread, sliced whole wheat bread, toasted bread","Kitchen Robot, please use the toaster to toast 2 slices of bread.",Which type of bread should the robot use for toasting in the toaster?,sliced whole wheat bread.,"1. Turn on the toaster and set it to the desired level of toastiness.
2. Place 2 slices of uncut white bread into the toaster slots.
3. Press down the lever to start toasting the bread.
4. Wait for the toaster to finish toasting the bread.
5. Remove the toasted slices of white bread from the toaster once they are done.
6. Serve the toasted white bread on a plate for consumption.

Optional:
7. Clean up any crumbs or mess left behind from using the toaster.","1. Turn on the toaster and set it to the desired level of toastiness.
2. Place 2 slices of bread into the toaster slots.
3. Press down the lever to start toasting the bread.
4. Wait for the toaster to finish toasting the bread.
5. Remove the toasted slices of bread from the toaster once they are done.
6. Serve the toasted bread on a plate for consumption.

Optional:
7. Clean up any crumbs or mess left behind from using the toaster.",1,please slice whole wheat bread,"A) place 2 slices of white bread into the toaster slots
B) place 2 slices of whole wheat bread into the toaster slots","A) use uncut white bread for toasting in the toaster
B) use sliced whole wheat bread for toasting in the toaster"
47,"clean sponge, dirty sponge, dish soap, stainless steel tablespoon, wooden tablespoon, silver teaspoon, coffee machine, honey, cucumber, potato, glass milk bottle, oat milk bottle, grapes, banana, orange, apple, lemon, avocado, peach, orange soda, bottled iced tea","a clean sponge, a dirty sponge, a dish soap, a stainless steel tablespoon, a wooden tablespoon, a silver teaspoon, a coffee machine, honey, a cucumber, a potato, a glass milk bottle, an oat milk bottle, grapes, a banana, an orange, an apple, a lemon, an avocado, a peach, an orange soda, bottled iced tea","Kitchen Robot, please take the cucumber, potato, and avocado from the fridge.","Robot, please retrieve the cucumber, potato, and avocado from the refrigerator.",common_sense_knowledge,,"Kitchen Robot, please take the cucumber, potato, and avocado.",Which items should you take from the fridge?,"The cucumber, potato, and avocado.","1. Take the cucumber, potato, and avocado from the fridge.
2. Wash the cucumber and avocado in the sink.
3. Peel and chop the cucumber, potato, and avocado on the kitchen table.
4. Preheat the oven to roast the potato slices.
5. While waiting for the oven to preheat, make a salad with chopped cucumber and avocado in a bowl.
6. Once preheated, place potato slices on a baking sheet and roast in the oven.
7. Serve roasted potatoes with salad on a plate for lunch or snack time.","1. Take the cucumber, potato, and avocado.
2. Wash the cucumber and avocado in the sink.
3. Peel and chop the cucumber, potato, and avocado on the kitchen table.
4. Preheat the oven to roast the potato slices.
5. While waiting for the oven to preheat, make a salad with chopped cucumber and avocado in a bowl.
6. Once preheated, place potato slices on a baking sheet and roast in the oven.
7. Serve roasted potatoes with salad on a plate for lunch or snack time.",0,chop the cucumber potato and avocado,"A) pick up the cucumber
B) pick up the potato
C) pick up the avocado","A) take the cucumber from the fridge
B) take the potato from the fridge
C) take the avocado from the fridge"
75,"potholder, toaster, grater, Coka-Cola can, Pepsi can, bottled water, canned olives, glass milk bottle, oat milk bottle, black tea bags, green tea bags, bottle of white wine, bottle of red wine","a potholder, a toaster, a grater, a Coka-Cola can, a Pepsi can, bottled water, canned olives, a glass milk bottle, an oat milk bottle, black tea bags, green tea bags, a bottle of white wine, a bottle of red wine","Kitchen Robot, please use the grater to grate some cheese onto a plate, then toast a slice of bread in the toaster and place it on top of the cheese. Serve with a can of Coca-Cola on the side.","Dear Kitchen Robot, please grate some cheese onto a plate using the grater, then toast a slice of bread in the toaster and place it on top of the cheese. Serve with a can of cola on the side. Thank you!",preferences,,"Kitchen Robot, please use the grater to grate some cheese onto a plate, then toast a slice of bread in the toaster and place it on top of the cheese. Serve with a can of soda on the side.",Which type of soda should be served with the dish?,Coca-Cola,"1. Grate some cheese onto a plate using the grater.
2. Toast a slice of bread in the toaster.
3. Place the toasted bread on top of the grated cheese on the plate.
4. Serve with a can of Coca-Cola on the side.","1. Grate some cheese onto a plate using the grater.
2. Toast a slice of bread in the toaster.
3. Place the toasted bread on top of the grated cheese on the plate.
4. Serve with a can of soda on the side.",3,make sure to always have cocacola stocked in the fridge for when guests come over,"A) Serve the Coka-Cola can on the side
B) Serve the Pepsi can on the side","A) serve with a Coka-Cola can on the side
B) serve with a Pepsi can on the side"
191,"bottle opener, coffee machine, grater, lemon, orange, apple, avocado, energy bar, water","a bottle opener, a coffee machine, a grater, a lemon, an orange, an apple, an avocado, an energy bar, water","Robot, please use the grater to zest the lemon and orange into a small bowl, and then use the coffee machine to brew a cup of hot water. Add the zest to the hot water and let it steep for a few minutes to create a citrusy herbal tea.","Hey kitchen robot, please grate the lemon and orange using the shredder into a small bowl. Then, brew a cup of hot water using the coffee maker. Add the grated zest to the hot water and let it steep for a few minutes to make a citrusy herbal tea. Thank you!",preferences,"next to sink, on top of the kitchen table","Robot, please use the grater to zest the lemon and orange into a small bowl, and then use the coffee machine to brew a cup of hot water. Add the zest to the hot water and let it steep for a few minutes to create a citrusy herbal tea.",Should I use the coffee machine that is next to the sink or the one on top of the kitchen table?,Use the one that is next to the sink,"1. Use the grater to zest the lemon and orange into a small bowl.
2. Brew a cup of hot water using the coffee machine.
3. Add the zest to the hot water and let it steep for a few minutes to create a citrusy herbal tea.","1. Use the grater to zest the lemon and orange into a small bowl.
2. Brew a cup of hot water using the coffee machine.
3. Add the zest to the hot water and let it steep for a few minutes to create a citrusy herbal tea.",0,use the dish soap that is next to the sink,A) Use the grater to zest the lemon and orange into a small bowl.,"A) use the grater to zest the lemon and orange into a small bowl
B) use the coffee machine next to the sink"
367,"ladle, stainless steel tablespoon, wooden tablespoon, silver teaspoon, bottle of red wine, bottle of white wine, bottle opener, corkscrew, sliced whole wheat bread, croissant, uncut white bread, toasted bread, paring knife, salmon, shrimps, mussels, muesli, cornflakes","a ladle, a stainless steel tablespoon, a wooden tablespoon, a silver teaspoon, a bottle of red wine, a bottle of white wine, a bottle opener, a corkscrew, sliced whole wheat bread, a croissant, uncut white bread, toasted bread, a paring knife, a salmon, shrimps, mussels, muesli, cornflakes","Please, use the paring knife to devein the shrimps, then place them in a bowl. Rinse the bowl and the knife with hot water and dish soap when you are finished.","Robot, please use the small knife to remove the veins from the shrimp and place them in a bowl. After you finish, wash the bowl and knife with hot water and soap.",common_sense_knowledge,,"Please, use the paring knife to devein the shrimps.",Which surface should I use to cut the shrimps?,You should use a cutting board.,"1. Use the paring knife to devein the shrimps and place them in a bowl.
2. Rinse the bowl and knife with hot water and dish soap.
3. Prepare the salmon by seasoning it with salt, pepper, and lemon juice.
4. Preheat the oven to 375°F.
5. Place the seasoned salmon on a baking sheet lined with foil and bake for 15-20 minutes or until cooked through.
6. While the salmon is cooking, prepare a salad with mussels, mixed greens, cherry tomatoes, and a vinaigrette dressing.
7. Toast some bread slices to serve as a side for the meal.
8. Once everything is ready, plate up the shrimp in one bowl, salmon on another plate, salad on another plate, and bread slices on a serving platter.
9. Serve everything hot and enjoy your meal!","1. Use the paring knife to devein the shrimps.
2. Rinse the bowl and knife with hot water and dish soap.
3. Prepare the salmon by seasoning it with salt, pepper, and lemon juice.
4. Preheat the oven to 375°F.
5. Place the seasoned salmon on a baking sheet lined with foil and bake for 15-20 minutes or until cooked through.
6. While the salmon is cooking, prepare a salad with mussels, mixed greens, cherry tomatoes, and a vinaigrette dressing.
7. Toast some bread slices to serve as a side for the meal.
8. Once everything is ready, plate up the shrimp in one bowl, salmon on another plate, salad on another plate, and bread slices on a serving platter.
9. Serve everything hot and enjoy your meal!",0,use a cutting board when preparing food,A) Use the paring knife to devein the shrimps.,"A) use the cutting board to cut the shrimps
B) use the kitchen table to cut the shrimps"
181,"metal bowl, plastic bowl, ceramic bowl, frying pan, grill pan, sauce pan, muesli, cornflakes, almond milk chocolate tablet, dark chocolate tablet, milk chocolate tablet, granulated sugar, table salt, bottle of white wine, bottle of red wine","a metal bowl, a plastic bowl, a ceramic bowl, a frying pan, a grill pan, a sauce pan, muesli, cornflakes, an almond milk chocolate tablet, a dark chocolate tablet, a milk chocolate tablet, granulated sugar, table salt, a bottle of white wine, a bottle of red wine","Robot, please use the frying pan to make a quick and easy chocolate and muesli dessert. Use a tablespoon of butter (if available in the kitchen), a dark chocolate tablet, and a cup of muesli. Melt the butter and chocolate together in the pan over medium heat, then mix in the muesli until well combined.","Kitchen robot, please prepare a simple dessert using the frying pan. Combine a tablespoon of butter (if available), a dark chocolate bar, and a cup of muesli in the pan over medium heat until melted. Stir in the muesli until fully mixed. Thank you!",preferences,"frying pan, grill pan, sauce pan","Robot, please use a pan to make a quick and easy chocolate and muesli dessert. Use a tablespoon of butter (if available in the kitchen), a dark chocolate tablet, and a cup of muesli. Melt the butter and chocolate together in the pan over medium heat, then mix in the muesli until well combined.",Which type of pan should I use to make the dessert?,Use the frying pan,"1. Check if there is butter available in the kitchen
2. If butter is available, melt a tablespoon of it in the frying pan over medium heat
3. Break the dark chocolate tablet into pieces and add it to the melted butter, stirring until fully melted and combined
4. Add a cup of muesli to the chocolate mixture in the pan, stirring until well coated and combined
5. Remove from heat and let cool slightly before serving 
6. Enjoy your quick and easy chocolate muesli dessert!","1. Check if there is butter available in the kitchen
2. If butter is available, melt a tablespoon of it in the pan over medium heat
3. Break the dark chocolate tablet into pieces and add it to the melted butter, stirring until fully melted and combined
4. Add a cup of muesli to the chocolate mixture in the pan, stirring until well coated and combined
5. Remove from heat and let cool slightly before serving 
6. Enjoy your quick and easy chocolate muesli dessert!",1,use the frying pan to cook the food,A) Melt a tablespoon of butter in the pan over medium heat,"A) use the frying pan to melt a tablespoon of butter
B) use the sauce pan to melt a tablespoon of butter"
386,"metal bowl, plastic bowl, ceramic bowl, plastic food storage container, glass food storage container, salmon, shrimps, oysters, seaweed, sardines, mussels, bacon, ham, vanilla yogurt cup, strawberry yogurt cup, greek yogurt cup, Pepsi can, beer can, grater","a metal bowl, a plastic bowl, a ceramic bowl, a plastic food storage container, a glass food storage container, a salmon, shrimps, oysters, a seaweed, sardines, mussels, bacon, ham, a vanilla yogurt cup, a strawberry yogurt cup, a greek yogurt cup, a Pepsi can, a beer can, a grater","Prepare a seafood platter.
Here's how the kitchen robot might execute this task:
Begin by retrieving the seafood items from the fridge: salmon, shrimps, oysters, sardines, and mussels.
Thoroughly rinse the seafood under cold water to remove any impurities and pat them dry with paper towels.
Preheat the oven to the appropriate temperature for baking or grilling the seafood.
While the oven is preheating, prepare the plastic food storage container and the glass food storage container for storing any leftover seafood or ingredients.
Arrange the metal bowl, plastic bowl, ceramic bowl, and the plastic food storage container on the kitchen table to serve as vessels for the seafood platter.
Place the salmon fillet on a baking tray lined with aluminum foil or parchment paper, season it with salt, pepper, and any desired herbs or spices, and place it in the oven to bake or grill until cooked through.
Meanwhile, prepare the shrimps by deveining them and removing the shells if necessary. Season them with salt, pepper, and a squeeze of lemon juice for added flavor.
Heat a frying pan on the stove and cook the shrimps in a little olive oil until they turn pink and opaque.
Next, arrange the oysters on a serving platter, shucking them if necessary, and garnish them with a wedge of lemon.
Open the can of sardines and drain them well before arranging them on the ceramic bowl.
Steam the mussels in a pot with a splash of white wine until they open up, then transfer them to the plastic bowl.
Once the salmon is cooked to perfection, remove it from the oven and transfer it to the metal bowl, flaking it into bite-sized pieces.
Arrange the cooked shrimps, oysters, sardines, and mussels alongside the salmon on the kitchen table, creating an attractive seafood platter.
Finally, garnish the platter with a sprig of fresh herbs, such as parsley or dill, for added visual appeal.
Serve the seafood platter with accompaniments such as lemon wedges, cocktail sauce, tartar sauce, or aioli, and invite guests to enjoy a delicious seafood feast.","Robot, please create a seafood platter using the ingredients in the fridge. Rinse and dry the seafood, preheat the oven, prepare containers for leftovers, arrange bowls on the table. Season and cook the salmon in the oven. Devein and cook the shrimps on the stove. Shuck and garnish oysters, drain sardines into a bowl. Steam mussels with wine in another bowl. Flake salmon into pieces once cooked. Arrange all seafood on table with garnish. Serve with lemon wedges and sauces for guests to enjoy a delicious seafood feast.",safety,,Prepare a seafood platter.,Can I use the dishwasher to cook the seafood?,"No, you cannot use the dishwasher to cook food. You should use the oven or stove for cooking. ","1. Retrieve the seafood items from the fridge: salmon, shrimps, oysters, sardines, and mussels.
2. Rinse the seafood under cold water and pat them dry with paper towels.
3. Preheat the oven for baking or grilling.
4. Prepare the plastic food storage container and glass food storage container for leftovers.
5. Arrange bowls on kitchen table for serving.
6. Season and bake/grill the salmon in the oven.
7. Devein and cook shrimps on stove.
8. Shuck oysters and garnish with lemon wedges.
9. Drain sardines and arrange in ceramic bowl.
10. Steam mussels in pot with white wine until they open up, then transfer to plastic bowl
11. Flake cooked salmon into metal bowl
12.Arrange all seafood on serving platters
13.Garnish platter with fresh herbs
14.Serve seafood platter with accompaniments","1. Retrieve the seafood items from the fridge: salmon, shrimps, oysters, sardines, and mussels.
2. Rinse the seafood under cold water and pat them dry with paper towels.
3. Preheat the oven for baking or grilling.
4. Prepare the plastic food storage container and glass food storage container for leftovers.
5. Arrange bowls on kitchen table for serving.
6. Season and bake/grill the salmon in the oven.
7. Devein and cook shrimps on stove.
8. Shuck oysters and garnish with lemon wedges.
9. Drain sardines and arrange in ceramic bowl.
10. Steam mussels in pot with white wine until they open up, then transfer to plastic bowl
11.Flake cooked salmon into metal bowl
12.Arrange all seafood on serving platters
13.Garnish platter with fresh herbs
14.Serve seafood platter with accompaniments",10,do not use the dishwasher for cooking food use the oven or stove instead,pick up the metal bowl and flake the cooked salmon into it.,"A) Use the oven to cook the seafood
B) Use the frying pan to cook the seafood"
328,"ladle, plastic food storage container, glass food storage container, mixer, mozarella sticks, cheddar cheese slices, parmesan, fresh mozarella package, cream cheese, blue cheese, glass milk bottle, oat milk bottle, basmati rice, jasmine rice, chocolate cake, strawberry cake, cheesecake, carrot cake, ice cream cake, vanilla cake","a ladle, a plastic food storage container, a glass food storage container, a mixer, mozarella sticks, cheddar cheese slices, parmesan, a fresh mozarella package, cream cheese, blue cheese, a glass milk bottle, an oat milk bottle, basmati rice, jasmine rice, a chocolate cake, a strawberry cake, a cheesecake, a carrot cake, an ice cream cake, a vanilla cake","Use the mixer to blend together a cup of cream cheese, a quarter cup of grated parmesan, and a tablespoon of milk until smooth. Scoop the mixture into a plastic food storage container and place it in the fridge to chill. While the mixture is chilling, use the ladle to scoop out a serving of basmati rice and place it on a plate. Heat up the mozzarella sticks in the microwave and place them on the plate next to the rice. Once the cream cheese mixture is chilled, scoop a small portion onto the plate and place a slice of cheddar cheese on top. Serve the plate with a glass of oat milk on the side.","Robot, please use the blender to mix together a cup of soft cheese, a quarter cup of grated hard cheese, and a tablespoon of dairy until it becomes smooth. Put the mixture into a plastic container and place it in the refrigerator to cool. While waiting for the mixture to chill, use the large spoon to scoop out a portion of long-grain rice and put it on a dish. Warm up the cheese sticks in the microwave and place them on the dish next to the rice. Once the cheese mixture is cold, scoop some onto the plate and add a slice of hard cheese on top. Serve with a glass of plant-based milk on the side.",common_sense_knowledge,,"Use the mixer to blend together a cup of cream cheese, a quarter cup of grated parmesan, and a tablespoon of milk until smooth. Scoop the mixture into a plastic food storage container and place it in the fridge to chill. While the mixture is chilling, use the ladle to scoop out a serving of basmati rice and place it on a plate. Heat up the mozzarella sticks in the microwave and place them on the plate next to the rice. Once the cream cheese mixture is chilled, scoop a small portion onto the plate and place a slice of cheddar cheese on top. Serve the plate with a glass of oat milk on the side.",Should I heat up all types of food in this task?,Only heat up mozzarella sticks in this task.,"1. Use the mixer to blend together cream cheese, parmesan, and milk
2. Scoop the mixture into a plastic food storage container and place it in the fridge to chill
3. Use the ladle to scoop out a serving of basmati rice and place it on a plate
4. Heat up the mozzarella sticks in the microwave and place them on the plate next to the rice
5. Once the cream cheese mixture is chilled, scoop a small portion onto the plate and place a slice of cheddar cheese on top
6. Serve the plate with a glass of oat milk on the side","1. Use the mixer to blend together cream cheese, parmesan, and milk
2. Scoop the mixture into a plastic food storage container and place it in the fridge to chill
3. Use the ladle to scoop out a serving of basmati rice and place it on a plate
4. Heat up the mozzarella sticks in the microwave and place them on the plate next to the rice
5. Once the cream cheese mixture is chilled, scoop a small portion onto the plate and place a slice of cheddar cheese on top
6. Serve the plate with a glass of oat milk on the side",0,heat up only mozzarella sticks for this task,"pick up the mixer and blend together cream cheese, parmesan, and milk","A) use the mixer to blend together cream cheese, parmesan, and milk
B) do not heat up all types of food"
451,"clean sponge, dirty sponge, dish soap, blender, mixer, ladle, shepherd's pie, apple pie, cream pie, key lime pie, pumpkin pie, sunflower oil, olive oil, glass milk bottle, oat milk bottle, mixed fruit jam, condensed milk, cookies, crackers","a clean sponge, a dirty sponge, a dish soap, a blender, a mixer, a ladle, shepherd's pie, apple pie, cream pie, key lime pie, pumpkin pie, sunflower oil, olive oil, a glass milk bottle, an oat milk bottle, mixed fruit jam, condensed milk, cookies, crackers",Please fill the glass milk bottle with oat milk.,"Robot, please pour oat milk into the glass bottle.",common_sense_knowledge,,Please fill the glass container with oat milk.,Which container should I use to fill with oat milk?,The glass milk bottle.,"1. Fill the glass milk bottle with oat milk
2. Put away the dirty sponge in the dishwasher
3. Wash any dirty dishes in the sink with dish soap and clean sponge
4. Put away any clean dishes from the dishwasher
5. Organize and clean up any clutter on the kitchen table
6. Make a cup of tea using the tea kettle
7. Enjoy a cookie or cracker as a snack","1. Fill the glass container with oat milk
2. Put away the dirty sponge in the dishwasher
3. Wash any dirty dishes in the sink with dish soap and clean sponge
4. Put away any clean dishes from the dishwasher
5. Organize and clean up any clutter on the kitchen table
6. Make a cup of tea using the tea kettle
7. Enjoy a cookie or cracker as a snack",0,please pour the milk from the glass bottle into a container,A) Fill the glass container with oat milk,"A) use the glass food storage container to fill with oat milk
B) use the plastic food storage container to fill with oat milk"
155,"bottle opener, plastic dinner plate, plastic bread plate, plastic salad plate, ceramic dinner plate, ceramic bread plate, ceramic salad plate, glass dinner plate, glass bread plate, glass salad plate, spatula, potato chips, jalapeno chips, rice chips, mixed fruit jam, avocado, banana, glass milk bottle, oat milk bottle, glass","a bottle opener, a plastic dinner plate, a plastic bread plate, a plastic salad plate, a ceramic dinner plate, a ceramic bread plate, a ceramic salad plate, a glass dinner plate, a glass bread plate, a glass salad plate, a spatula, potato chips, jalapeno chips, rice chips, mixed fruit jam, an avocado, a banana, a glass milk bottle, an oat milk bottle, a glass","Robot, please use the bottle opener to open the glass milk bottle and pour it into a glass.","Hey kitchen robot, can you please use the opener to open the glass bottle of milk and pour it into a cup?",common_sense_knowledge,,"Robot, please use the bottle opener to open the glass milk bottle and pour it into a glass.",Which container should you pour the milk into after opening the bottle?,Pour it into a glass.,"1. Use the bottle opener to open the glass milk bottle.
2. Pour the milk into a glass.
3. Place the bottle opener back in its designated spot.
4. Clean up any spills or messes made during the process.","1. Use the bottle opener to open the glass milk bottle.
2. Pour the milk into a glass.
3. Place the bottle opener back in its designated spot.
4. Clean up any spills or messes made during the process.",0,please pour the liquid into a glass,A) use the bottle opener to open the glass milk bottle,"A) pour the milk into a plastic dinner plate
B) pour the milk into a ceramic dinner plate"
